#{"t_start": 1677972172.8311899, "env_id": "DeepRMSA-v0"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
-18,50,144.661619,0.68,0.7176713541154489
-22,50,146.149268,0.72,0.7395340985820391
-22,50,147.274639,0.72,0.7710653498634167
-32,50,148.444326,0.82,0.8673139158576052
-22,50,149.541119,0.72,0.73299188248937
-34,50,150.730072,0.84,0.8439970582827726
-28,50,151.902049,0.78,0.8303948576675849
-28,50,153.086775,0.78,0.8573403100009873
-32,50,154.31036,0.82,0.8702297803421399
-20,50,155.518047,0.7,0.750172117039587
-28,50,157.911738,0.78,0.7727569788068341
-32,50,159.216491,0.82,0.8654871751460256
-34,50,160.485759,0.84,0.8139208813219829
-30,50,161.745524,0.8,0.8594710125567726
-26,50,163.0336,0.76,0.8211443321144332
-30,50,164.361708,0.8,0.8422330097087378
-28,50,165.593514,0.78,0.8335096662498798
-32,50,166.900491,0.82,0.8819658119658119
-26,50,168.200123,0.76,0.855820348304308
-26,50,170.673332,0.76,0.8006319739310753
-24,50,171.936971,0.74,0.7833755274261603
-32,50,173.253375,0.82,0.8705628151044346
-32,50,174.528297,0.82,0.8718701095461658
-22,50,175.759574,0.72,0.739451114922813
-18,50,177.013954,0.68,0.758476266453929
-32,50,178.310175,0.82,0.8606743615377624
-22,50,179.576002,0.72,0.7820499949804236
-38,50,181.153084,0.88,0.8932579382340148
-30,50,183.466622,0.8,0.8816838421154968
-24,50,184.713342,0.74,0.7852701127089001
-28,50,185.993903,0.78,0.7786128214415067
-30,50,187.310339,0.8,0.8571549606032365
-28,50,188.602342,0.78,0.7769272237196766
-20,50,189.86444,0.7,0.7867700258397933
-26,50,191.157633,0.76,0.8470915120552119
-24,50,192.480629,0.74,0.7677962703027873
-20,50,194.411361,0.7,0.7901324142934881
-26,50,196.471151,0.76,0.8044182376878997
-32,50,197.815909,0.82,0.8631334263133427
-32,50,199.178254,0.82,0.8625060945880059
-34,50,200.545169,0.84,0.8986674069961132
-22,50,201.888974,0.72,0.7934069727304107
-28,50,203.247621,0.78,0.8500767712217592
-40,50,204.743145,0.9,0.9352014010507881
-22,50,206.405321,0.72,0.8424374094765156
-24,50,208.724467,0.74,0.7727061448359208
-26,50,210.085191,0.76,0.810657388756638
-22,50,211.46487,0.72,0.8003324713705209
-26,50,212.8621,0.76,0.8089260808926081
-32,50,214.34587,0.82,0.9036386209531085
-20,50,215.690175,0.7,0.7426676339517049
-26,50,217.087054,0.76,0.7954648526077097
-30,50,219.073436,0.8,0.8079262837716944
-24,50,222.165313,0.74,0.8438171791756239
-20,50,223.911085,0.7,0.7598934900376457
-22,50,225.352869,0.72,0.8346796401689003
-28,50,226.797606,0.78,0.8997535731887629
-32,50,228.261324,0.82,0.9116774306161634
-22,50,229.62609,0.72,0.7298994974874372
-26,50,231.051502,0.76,0.8641880913695881
-22,50,232.459618,0.72,0.792556726478686
-30,50,235.143173,0.8,0.8667928663943409
-30,50,236.61459,0.8,0.8845311566792753
-36,50,238.138712,0.86,0.8728429492766254
-24,50,239.570241,0.74,0.7295893364696658
-22,50,240.984604,0.72,0.7392929292929293
-26,50,242.446533,0.76,0.8377312708522899
-22,50,243.901264,0.72,0.822261949567181
-30,50,245.582984,0.8,0.8249230482231135
-34,50,248.141965,0.84,0.8620178041543026
-32,50,249.662434,0.82,0.8321794516754362
-24,50,251.120917,0.74,0.8382850351951733
-32,50,252.655472,0.82,0.8907539900935608
-24,50,254.165884,0.74,0.806075624082232
-16,50,255.621622,0.66,0.7464928862799721
-30,50,257.163987,0.8,0.8348931841302136
-36,50,259.814193,0.86,0.8930608365019012
-32,50,261.532552,0.82,0.8448103792415169
-22,50,263.013234,0.72,0.811984753124723
-36,50,264.624965,0.86,0.9329144021739131
-28,50,266.209217,0.78,0.8277571251548946
-26,50,267.775281,0.76,0.806570067487098
-34,50,269.414393,0.84,0.8742782152230971
-34,50,271.942895,0.84,0.8515997277059224
-22,50,273.791847,0.72,0.7691932494390791
-24,50,275.36324,0.74,0.7933453407905963
-28,50,276.93794,0.78,0.8300985672187786
-28,50,278.517778,0.78,0.8469096983393928
-26,50,280.137777,0.76,0.8428053204353083
-28,50,281.750583,0.78,0.8262458134578301
-26,50,284.137069,0.76,0.7717734447539462
-28,50,286.334126,0.78,0.8483327357475797
-30,50,287.957667,0.8,0.8318623124448368
-20,50,289.538275,0.7,0.8076886658460373
-18,50,291.075387,0.68,0.7879290171606864
-22,50,292.712241,0.72,0.7621535181236674
-30,50,294.410634,0.8,0.8662266226622662
-30,50,296.827611,0.8,0.8691477688368691
-24,50,298.926052,0.74,0.7815250544662309
-28,50,300.569673,0.78,0.8678905687544997
-24,50,302.217993,0.74,0.8794602427096541
-26,50,303.87353,0.76,0.786159844054581
-24,50,305.460373,0.74,0.7704977049770497
-34,50,307.205011,0.84,0.8606106580694102
-24,50,309.860332,0.74,0.7895265947724365
-28,50,311.777488,0.78,0.8509322503230571
-24,50,313.429622,0.74,0.7996691963417007
-24,50,315.129353,0.74,0.7255012179126851
-26,50,316.854753,0.76,0.8376799047722108
-26,50,318.545385,0.76,0.8357910760156027
-26,50,320.208378,0.76,0.8174861297111153
-28,50,323.165707,0.78,0.8664632221403767
-32,50,324.906867,0.82,0.9101708854975784
-18,50,326.573827,0.68,0.7749009247027742
-28,50,328.320511,0.78,0.8126423690205011
-30,50,330.095655,0.8,0.8256616800920599
-30,50,331.851316,0.8,0.7971610011206575
-26,50,334.351599,0.76,0.818909280681917
-32,50,336.634188,0.82,0.7979946647042591
-22,50,338.341405,0.72,0.8158367787165198
-28,50,340.092939,0.78,0.7465867158671586
-26,50,341.857728,0.76,0.8599492433499389
-32,50,343.72819,0.82,0.8408707241226122
-24,50,345.537792,0.74,0.8152606963450546
-24,50,348.541353,0.74,0.8303151575787894
-22,50,350.263781,0.72,0.8864526233359437
-22,50,352.019358,0.72,0.7969648411725893
-30,50,353.899013,0.8,0.8324404212082025
-28,50,355.667402,0.78,0.8740164769045635
-20,50,357.416367,0.7,0.7509119332985931
-30,50,360.454446,0.8,0.8569575690198258
-28,50,362.321717,0.78,0.8376138340325386
-36,50,364.232229,0.86,0.8874714059475629
-20,50,366.036635,0.7,0.7366774429033267
