,Source,Destination,Reason,Path,Nodes,Band,Available_Other
379,9,13,Slots Full,2,,2,1
380,4,15,Slots Full,2,,2,0
381,13,8,Slots Full,2,,2,1
382,17,6,Slots Full,2,,2,0
383,5,7,Slots Full,4,,3,0
384,16,1,Slots Full,2,,2,0
385,15,2,Slots Full,2,,2,0
386,14,6,Slots Full,2,,2,1
387,12,2,Slots Full,2,,2,1
388,12,1,Slots Full,2,,2,0
389,13,3,Slots Full,2,,2,0
390,9,15,Slots Full,1,,1,1
391,15,5,Slots Full,2,,2,0
392,3,2,Slots Full,2,,2,1
393,3,2,Slots Full,2,,2,1
394,3,12,Slots Full,2,,2,0
395,15,4,Slots Full,2,,2,0
396,15,9,Slots Full,2,,2,1
397,15,2,Slots Full,4,,3,0
398,6,14,Slots Full,2,,2,1
399,5,10,Slots Full,2,,2,1
400,17,6,Slots Full,2,,2,1
401,1,14,Slots Full,2,,2,0
402,16,13,Slots Full,2,,2,1
403,16,3,Slots Full,2,,2,0
404,12,10,Slots Full,2,,2,1
405,6,15,Slots Full,2,,2,0
406,5,15,Slots Full,2,,2,0
407,6,9,Slots Full,2,,2,1
408,17,5,Slots Full,2,,2,0
409,16,3,Slots Full,2,,2,0
410,5,17,Slots Full,2,,2,1
411,15,6,Slots Full,2,,2,1
412,13,4,Slots Full,2,,2,0
413,6,7,Slots Full,2,,1,1
414,11,3,Slots Full,2,,2,1
415,5,7,Slots Full,2,,2,1
416,13,4,Slots Full,2,,2,0
417,14,2,Slots Full,2,,2,1
418,2,13,Slots Full,2,,2,1
419,13,5,Slots Full,2,,2,0
420,12,5,Slots Full,2,,2,0
421,6,11,Slots Full,2,,2,1
422,17,3,Slots Full,2,,2,0
423,3,17,Slots Full,2,,2,0
424,12,17,Slots Full,4,,3,1
425,14,1,Slots Full,2,,2,0
426,16,12,Slots Full,2,,2,1
427,4,16,Slots Full,2,,2,0
428,4,16,Slots Full,2,,2,0
429,4,13,Slots Full,2,,2,0
430,15,9,Slots Full,2,,2,1
431,9,15,Slots Full,2,,2,1
432,15,9,Slots Full,1,,0,1
433,5,6,Slots Full,2,,2,1
434,13,4,Slots Full,2,,2,1
435,3,16,Slots Full,2,,2,0
436,15,14,Slots Full,2,,2,1
437,13,5,Slots Full,4,,3,1
438,15,2,Slots Full,2,,2,1
439,11,13,Slots Full,2,,2,1
440,2,12,Slots Full,2,,2,1
441,14,15,Slots Full,2,,2,1
442,17,5,Slots Full,2,,2,1
443,7,12,Slots Full,2,,2,0
444,13,1,Slots Full,2,,2,0
445,16,4,Slots Full,2,,2,0
446,13,7,Slots Full,2,,2,0
447,6,16,Slots Full,2,,2,1
448,14,7,Slots Full,2,,2,1
449,7,13,Slots Full,2,,2,0
450,4,15,Slots Full,2,,2,0
451,2,13,Slots Full,2,,2,1
452,14,15,Slots Full,2,,2,1
453,16,1,Slots Full,2,,2,0
454,13,2,Slots Full,2,,1,1
455,12,4,Slots Full,4,,3,1
456,6,17,Slots Full,2,,2,1
457,16,4,Slots Full,4,,3,1
458,7,15,Slots Full,2,,2,0
459,2,13,Slots Full,4,,3,1
460,16,9,Slots Full,2,,2,1
461,17,3,Slots Full,2,,2,1
462,8,15,Slots Full,2,,2,1
463,16,6,Slots Full,4,,3,0
464,13,8,Slots Full,2,,2,1
465,9,16,Slots Full,2,,2,1
466,16,10,Slots Full,2,,2,1
467,16,10,Slots Full,2,,2,1
468,3,14,Slots Full,2,,2,0
469,17,5,Slots Full,2,,2,1
470,1,16,Slots Full,2,,2,0
471,6,12,Slots Full,2,,2,1
472,10,13,Slots Full,1,,1,1
473,14,1,Slots Full,2,,2,1
474,13,12,Slots Full,0,,0,1
475,6,13,Slots Full,4,,3,1
476,15,5,Slots Full,2,,2,0
477,15,1,Slots Full,2,,2,0
478,17,5,Slots Full,2,,2,1
479,4,17,Slots Full,2,,2,1
480,1,13,Slots Full,1,,0,1
481,4,12,Slots Full,2,,2,1
482,17,12,Slots Full,1,,1,1
483,6,10,Slots Full,2,,2,1
484,17,5,Slots Full,2,,2,0
485,12,16,Slots Full,2,,2,1
486,7,6,Slots Full,2,,2,1
487,16,6,Slots Full,2,,2,0
488,15,14,Slots Full,1,,0,1
489,16,5,Slots Full,2,,2,0
490,11,6,Slots Full,2,,2,1
491,6,11,Slots Full,2,,2,1
492,16,12,Slots Full,2,,2,1
493,17,13,Slots Full,2,,2,1
494,12,5,Slots Full,2,,2,1
495,15,3,Slots Full,2,,2,0
496,1,15,Slots Full,2,,2,0
497,3,5,Slots Full,1,,0,1
498,14,7,Slots Full,2,,2,1
499,7,3,Slots Full,2,,2,1
500,10,6,Slots Full,2,,2,1
501,7,14,Slots Full,2,,2,1
502,4,13,Slots Full,2,,2,0
503,14,13,Slots Full,2,,2,1
504,14,2,Slots Full,2,,2,1
505,7,14,Slots Full,2,,2,1
506,12,9,Slots Full,2,,2,1
507,1,3,Slots Full,2,,2,1
508,13,11,Slots Full,1,,1,1
509,10,12,Slots Full,2,,2,1
510,7,5,Slots Full,2,,2,1
511,4,15,Slots Full,2,,2,0
512,13,3,Slots Full,2,,2,0
513,8,12,Slots Full,2,,2,1
514,15,10,Slots Full,2,,2,1
515,1,15,Slots Full,4,,3,0
516,12,11,Slots Full,1,,1,1
517,12,16,Slots Full,2,,2,1
518,8,16,Slots Full,2,,2,1
