#{"t_start": 1668715868.6601262, "env_id": "DeepRMSA-v0"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
26,50,711.817757,0.24,0.3327504129019722
14,50,713.727152,0.36,0.3862245364026674
12,50,715.663468,0.38,0.48142115443347244
18,50,717.55925,0.32,0.43039941504432866
6,50,719.539398,0.44,0.4803021610250526
4,50,721.491396,0.46,0.5005185480654168
26,50,723.346063,0.24,0.3092051905920519
26,50,725.231508,0.24,0.29836344716677704
28,50,727.118874,0.22,0.2945706209182182
30,50,728.980011,0.2,0.22300613496932514
14,50,730.947573,0.36,0.400604400793276
16,50,732.870833,0.34,0.33065639596820456
24,50,734.762012,0.26,0.32483474976392823
32,50,736.63764,0.18,0.24390243902439024
22,50,738.55525,0.28,0.3343833966459742
16,50,740.520435,0.34,0.425822731573967
20,50,742.442573,0.3,0.3502574116811646
14,50,744.429992,0.36,0.4535935752770153
16,50,746.356849,0.34,0.4282684860778167
16,50,748.308884,0.34,0.44661016949152543
20,50,750.24913,0.3,0.36102267245537867
22,50,752.152437,0.28,0.3957406230133503
12,50,754.620577,0.38,0.4669114272602111
16,50,757.405997,0.34,0.4319216562151018
24,50,759.319416,0.26,0.3204816731805218
20,50,761.269428,0.3,0.39943056576047026
24,50,763.188664,0.26,0.32461701003697835
18,50,765.152809,0.32,0.3871792610880875
14,50,767.116931,0.36,0.40768757146626794
10,50,769.098055,0.4,0.46024478295324467
32,50,771.112755,0.18,0.22305022458146181
16,50,774.107433,0.34,0.48339938353148393
16,50,776.340855,0.34,0.4299305489487204
8,50,778.355698,0.42,0.49701544943820225
24,50,780.268507,0.26,0.32826191622532497
26,50,782.2165,0.24,0.3237719941348974
28,50,784.114556,0.22,0.2766128312661729
34,50,785.980008,0.16,0.19161610590182018
24,50,787.917603,0.26,0.3631503579952267
16,50,789.919204,0.34,0.4103330111589491
26,50,791.855254,0.24,0.35581129922008753
4,50,793.889606,0.46,0.5385213251724473
22,50,795.835403,0.28,0.3778173190984579
30,50,797.750741,0.2,0.23378796753409756
6,50,799.808805,0.44,0.5084267018171547
22,50,801.782403,0.28,0.38347055098163396
26,50,803.720329,0.24,0.27589935128759585
28,50,805.64741,0.22,0.2636008676789588
10,50,808.382008,0.4,0.48170556035724577
18,50,811.016163,0.32,0.45710845791110666
24,50,812.997126,0.26,0.310419326328194
12,50,815.084173,0.38,0.3879254381897431
14,50,817.085995,0.36,0.4343518615079779
4,50,819.199234,0.46,0.5612476199111434
18,50,821.198495,0.32,0.39994591671173607
22,50,823.170959,0.28,0.3284962991819244
26,50,825.161577,0.24,0.35161259450665133
26,50,827.141477,0.24,0.3087930319369556
32,50,829.049449,0.18,0.2731191222570533
16,50,831.067319,0.34,0.3859504132231405
28,50,833.02076,0.22,0.29233226837060705
24,50,834.993787,0.26,0.35415841584158414
22,50,836.994929,0.28,0.33841226708074534
16,50,839.067175,0.34,0.37400933666268593
20,50,841.06078,0.3,0.3216211515046095
20,50,843.084489,0.3,0.4517829754601227
22,50,845.129827,0.28,0.3708532907574951
30,50,847.106679,0.2,0.28448275862068967
30,50,849.08039,0.2,0.2704106635303342
20,50,851.062652,0.3,0.3752802119421235
12,50,853.153838,0.38,0.47720445308358367
16,50,855.204255,0.34,0.40893825884784296
16,50,857.285066,0.34,0.4025223837489169
16,50,859.348613,0.34,0.46070726915520627
32,50,862.065141,0.18,0.28723813184701136
32,50,864.600833,0.18,0.22764459665144596
28,50,866.547502,0.22,0.2626710348814801
26,50,868.540437,0.24,0.2822850762932639
30,50,870.523329,0.2,0.2528694723729869
20,50,872.544675,0.3,0.4295607011469379
12,50,874.634065,0.38,0.43857634902411025
20,50,876.692954,0.3,0.395188679245283
8,50,878.844516,0.42,0.4879202132232826
26,50,880.837434,0.24,0.2859918578830496
22,50,882.896055,0.28,0.4101651842439644
28,50,884.892115,0.22,0.28168326498730717
30,50,886.847927,0.2,0.27128471162648765
24,50,888.847566,0.26,0.38771735109137995
30,50,890.772591,0.2,0.30086222711429095
30,50,892.752446,0.2,0.2728382502543235
28,50,894.758595,0.22,0.2924383505576589
22,50,896.809559,0.28,0.33007539793353813
16,50,898.906017,0.34,0.4270591272915053
24,50,900.913924,0.26,0.3456572224802601
30,50,902.866178,0.2,0.32125112917795845
14,50,904.943774,0.36,0.43944407677035074
24,50,906.954102,0.26,0.34991851212731284
18,50,908.99662,0.32,0.4250408867890242
36,50,910.951263,0.14,0.22388059701492538
18,50,913.968261,0.32,0.3803664451230465
36,50,916.341915,0.14,0.1969533275713051
14,50,918.41755,0.36,0.45181215369243344
16,50,920.466117,0.34,0.3860185101985803
30,50,922.459744,0.2,0.24622030237580994
24,50,924.481154,0.26,0.3653885169405559
32,50,926.47366,0.18,0.24691358024691357
10,50,928.63455,0.4,0.527165932452276
14,50,930.748797,0.36,0.3798689138576779
12,50,932.896178,0.38,0.4226659471127901
22,50,934.95285,0.28,0.3463
18,50,937.056629,0.32,0.3715081441471854
20,50,939.129535,0.3,0.4146095717884131
12,50,941.26623,0.38,0.45312659389982657
14,50,943.399084,0.36,0.40755963894261765
12,50,945.512622,0.38,0.46016886930983847
24,50,947.669228,0.26,0.3128139556123847
26,50,949.731173,0.24,0.25368876647649025
32,50,951.748517,0.18,0.2460655040408337
26,50,953.81811,0.24,0.32023949922888506
28,50,955.854958,0.22,0.37770527460576403
18,50,957.982197,0.32,0.4133260113490756
24,50,960.058511,0.26,0.31651333519189667
20,50,962.152289,0.3,0.3769962474910551
8,50,964.986544,0.42,0.5508672773338531
22,50,967.85329,0.28,0.37992797573919634
26,50,969.935935,0.24,0.3380846705360191
24,50,972.012962,0.26,0.3478702762635129
28,50,974.063155,0.22,0.27427466150870405
20,50,976.150287,0.3,0.3557325650368613
20,50,978.59893,0.3,0.4182614006514658
4,50,981.867099,0.46,0.5406526050117181
22,50,983.972037,0.28,0.3702646106986484
18,50,986.104439,0.32,0.3830615270570793
26,50,988.210594,0.24,0.3073850523699627
10,50,990.375844,0.4,0.4879065132711296
14,50,992.560113,0.36,0.38343584856623064
8,50,994.776119,0.42,0.43383598096927667
24,50,996.898216,0.26,0.3304420524610722
10,50,999.145591,0.4,0.4916360294117647
22,50,1001.197271,0.28,0.33210922787193975
18,50,1003.399443,0.32,0.37111173761864485
22,50,1005.471881,0.28,0.37214217098943325
10,50,1007.719759,0.4,0.5116062351745171
18,50,1009.886025,0.32,0.35915872730541076
22,50,1012.025266,0.28,0.3545138253067204
18,50,1014.200253,0.32,0.4064773735581189
24,50,1016.329194,0.26,0.3391615338764157
12,50,1019.527068,0.38,0.4490766136405193
24,50,1022.01415,0.26,0.31382684142514305
22,50,1024.160789,0.28,0.34518474255552234
32,50,1026.222892,0.18,0.24506283662477557
28,50,1028.35411,0.22,0.2591093117408907
14,50,1030.522888,0.36,0.49612116734392314
22,50,1032.664505,0.28,0.3285326654143185
20,50,1034.826784,0.3,0.3775467338794371
20,50,1036.979949,0.3,0.336410635155096
32,50,1039.11178,0.18,0.23079368443361237
28,50,1041.202921,0.22,0.30317202114680764
34,50,1043.294066,0.16,0.22643553629469124
18,50,1045.454894,0.32,0.4258985721319547
22,50,1047.614213,0.28,0.4245292418053203
26,50,1049.718328,0.24,0.3187094235687586
18,50,1051.914373,0.32,0.300963290809685
20,50,1054.098763,0.3,0.3299583085169744
