#{"t_start": 1668695810.7917104, "env_id": "DeepRMSA-v0"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
36,50,1383.447276,0.14,0.18632354278439575
40,50,1385.326148,0.1,0.1111111111111111
34,50,1387.281924,0.16,0.20066445182724252
30,50,1389.246659,0.2,0.291921664626683
24,50,1391.242399,0.26,0.3450332254217073
32,50,1393.206437,0.18,0.2538614611958685
32,50,1395.171268,0.18,0.23723980610208156
32,50,1397.103128,0.18,0.17129416105525322
22,50,1399.150743,0.28,0.2874191491299991
38,50,1401.120859,0.12,0.1627862776774684
20,50,1403.239942,0.3,0.37355371900826445
28,50,1405.201308,0.22,0.2690740740740741
30,50,1407.241374,0.2,0.25344809706522864
38,50,1409.116136,0.12,0.17993149304855935
20,50,1411.193532,0.3,0.3393074647642248
34,50,1413.220913,0.16,0.18814386408819808
22,50,1415.326528,0.28,0.35441719534135024
36,50,1417.26772,0.14,0.20775947430011701
34,50,1419.237464,0.16,0.1994395142456796
40,50,1421.125333,0.1,0.12853559380676413
32,50,1423.141996,0.18,0.24493888464476699
28,50,1425.162273,0.22,0.27509604142308336
36,50,1427.146378,0.14,0.1588094095055209
28,50,1429.880496,0.22,0.3366647629925757
26,50,1433.415649,0.24,0.344883920894239
34,50,1435.358967,0.16,0.20906955367173935
44,50,1437.217327,0.06,0.08958984178171923
38,50,1439.093263,0.12,0.20288676560276478
16,50,1441.226672,0.34,0.4193331653649114
30,50,1443.349082,0.2,0.24314332387584903
20,50,1445.462502,0.3,0.38184692643913326
28,50,1447.454629,0.22,0.30532554693628516
34,50,1449.382071,0.16,0.2561890087313816
30,50,1451.468992,0.2,0.27283938905227206
38,50,1453.4141,0.12,0.2084387215451828
34,50,1455.347466,0.16,0.22549569771791994
38,50,1457.319273,0.12,0.16364794757440612
28,50,1459.333389,0.22,0.24726704841228528
30,50,1461.307026,0.2,0.2564530949795339
36,50,1463.302095,0.14,0.20728097868981846
32,50,1465.28421,0.18,0.2524926981569141
34,50,1467.233989,0.16,0.19909058487874465
28,50,1469.237865,0.22,0.27755183017557783
24,50,1471.231953,0.26,0.3526315789473684
24,50,1473.31029,0.26,0.33846533838300674
30,50,1475.293752,0.2,0.20738552437223043
38,50,1477.225694,0.12,0.14325452016689846
30,50,1479.241992,0.2,0.252004355142037
28,50,1481.246383,0.22,0.26992815600410536
30,50,1483.245175,0.2,0.23642338291248702
30,50,1485.276646,0.2,0.27684533477711604
24,50,1487.367288,0.26,0.3651343507162251
30,50,1489.368866,0.2,0.2624133949191686
22,50,1491.451309,0.28,0.3286687190969307
36,50,1493.501736,0.14,0.2067084259446353
26,50,1495.594897,0.24,0.2794763443533019
42,50,1497.583448,0.08,0.1002606995437758
28,50,1499.611446,0.22,0.31109125211001887
20,50,1503.011054,0.3,0.3940435280641466
34,50,1505.912519,0.16,0.18358154072439786
34,50,1507.881749,0.16,0.2166111727709952
34,50,1509.8413,0.16,0.24254492472073821
42,50,1511.760076,0.08,0.07029500535488267
34,50,1513.710835,0.16,0.18906394810009267
32,50,1515.716055,0.18,0.21425438596491228
38,50,1517.715013,0.12,0.1728068389985752
18,50,1519.897017,0.32,0.397711795151185
42,50,1521.898922,0.08,0.11005135730007337
36,50,1523.918308,0.14,0.14478359908883826
36,50,1525.832045,0.14,0.195618950585838
36,50,1527.842385,0.14,0.15840764916796912
34,50,1529.816855,0.16,0.21968128207436752
24,50,1531.875946,0.26,0.3808902799513128
36,50,1533.959627,0.14,0.20360272638753651
38,50,1535.926318,0.12,0.12496217851739788
30,50,1537.998173,0.2,0.26336173508907823
30,50,1540.019678,0.2,0.26532416502946954
36,50,1542.024228,0.14,0.1834984756097561
30,50,1544.056551,0.2,0.256785188302125
24,50,1546.104959,0.26,0.30358882754140953
34,50,1548.117279,0.16,0.2015957984042016
32,50,1550.091196,0.18,0.24753056234718826
30,50,1552.109763,0.2,0.29478252094055907
26,50,1554.196695,0.24,0.30665617073384066
26,50,1556.242234,0.24,0.32505818463925523
22,50,1558.414403,0.28,0.3257232212666145
22,50,1560.553619,0.28,0.3626938333934367
28,50,1562.62818,0.22,0.2962262366404994
30,50,1564.783783,0.2,0.2434831355694665
30,50,1566.817619,0.2,0.2601123595505618
24,50,1569.04601,0.26,0.2896843241298678
32,50,1571.143135,0.18,0.23570489648373316
32,50,1574.33318,0.18,0.25932554634513943
26,50,1577.482718,0.24,0.3377409442219946
30,50,1579.552196,0.2,0.31008200675349734
36,50,1581.62215,0.14,0.20525762355415353
14,50,1583.889689,0.36,0.426985559566787
26,50,1585.927971,0.24,0.34137374461979914
30,50,1588.034291,0.2,0.279316668275263
28,50,1590.104545,0.22,0.32097989949748745
36,50,1592.04231,0.14,0.19561958694203865
32,50,1594.1144,0.18,0.17606029022689007
32,50,1596.146257,0.18,0.24980415197806502
30,50,1598.275969,0.2,0.2562525625256253
32,50,1600.326817,0.18,0.23194357646638694
32,50,1602.393941,0.18,0.25305346964624986
32,50,1604.434347,0.18,0.19085354210425817
34,50,1606.490036,0.16,0.24823237148862984
24,50,1608.622356,0.26,0.29740270516969547
28,50,1610.698943,0.22,0.31361607142857145
18,50,1612.889038,0.32,0.44773424805921647
26,50,1614.971984,0.24,0.30129580365571096
26,50,1617.084172,0.24,0.3248781368478065
24,50,1619.222949,0.26,0.3603657324587557
38,50,1621.210364,0.12,0.15230863227721045
30,50,1623.322995,0.2,0.2569771088115397
28,50,1625.422811,0.22,0.2534879948085659
38,50,1627.540488,0.12,0.17194183062446536
38,50,1629.560254,0.12,0.14786815845176898
26,50,1631.644613,0.24,0.30365587486358675
26,50,1633.774049,0.24,0.31735568320934177
34,50,1635.801257,0.16,0.16485878018829309
40,50,1637.836728,0.1,0.15088314539467118
34,50,1639.951637,0.16,0.2589114603296282
32,50,1642.159691,0.18,0.17824828085414404
42,50,1645.026481,0.08,0.11235378616868459
34,50,1648.445151,0.16,0.19839093070031083
28,50,1650.529706,0.22,0.3088954056695992
40,50,1653.779794,0.1,0.14996288047512993
